Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
AB1,2008,4,9.25,1.156666667,0.877666667,0.227533333,57.8
AB1,2008,5,17.76129032,1.94516129,1.340322581,0.269580645,60.83870968
AB1,2008,6,20.75666667,3.463333333,1.569333333,0.282566667,64.1
AB1,2008,7,25.91935484,1.338709677,2.276129032,0.187451613,55.48387097
AB1,2008,8,26.14193548,1.561290323,2.548387097,0.173419355,49.48387097
AB1,2008,9,17.93666667,0.97,1.16,0.247766667,66.9
AB1,2008,10,13.20322581,0.348387097,0.972580645,0.190419355,56.35483871
AB1,2008,11,7.716666667,0.55,0.529,0.2309,65.46666667
AB1,2008,12,-7.332258065,1.393548387,0.150645161,0.226516129,74.96774194
AB1,2009,1,-4.251612903,0.525806452,0.154516129,0.222419355,73.90322581
AB1,2009,2,-2.864285714,0.464285714,0.145357143,0.30825,79
AB1,2009,3,2.651612903,0.232258065,0.458709677,0.339612903,62.25806452
AB1,2009,4,11.50666667,0.37,0.961666667,0.2214,53.9
AB1,2009,5,17.68387097,0.796774194,1.417419355,0.209774194,55.06451613
AB1,2009,6,21.13666667,2.153333333,1.777666667,0.213833333,55.8
AB1,2009,7,24.45806452,2.574193548,1.922258065,0.228741935,59.29032258
AB1,2009,8,23.88387097,2.161290323,1.877096774,0.233709677,61.67741935
AB1,2009,9,25.33,0.793333333,2.601666667,0.150033333,41.7
AB1,2009,10,7.751612903,1.24516129,0.570322581,0.263903226,67.41935484
AB1,2009,11,7.786666667,0.423333333,0.600333333,0.2469,58.73333333
AB1,2009,12,-9.503225806,0.774193548,0.09516129,0.253290323,75.64516129
AB1,2010,1,-2.467741935,0.522580645,0.195806452,0.307806452,75.25806452
AB1,2010,2,0.121428571,0.242857143,0.255714286,0.32725,76.28571429
AB1,2010,3,10.62580645,0.174193548,0.824516129,0.281,61.09677419
AB1,2010,4,12.3,3.04,0.950666667,0.271333333,57.76666667
AB1,2010,5,13.5483871,4.003225806,0.97516129,0.347870968,67.32258065
AB1,2010,6,19.89,4.17,1.210333333,0.331266667,69.93333333
AB1,2010,7,24.08064516,1.096774194,1.740967742,0.215225806,65.03225806
AB1,2010,8,23.76129032,1.05483871,1.831935484,0.193774194,62.22580645
AB1,2010,9,17.44333333,1.406666667,1.148,0.243266667,67.96666667
AB1,2010,10,15.64516129,0.409677419,1.170322581,0.189129032,60.22580645
AB1,2010,11,1.053333333,1.373333333,0.462333333,0.1963,71
AB1,2010,12,-4.503225806,0.206451613,0.131290323,0.231,79.41935484
AB1,2011,1,-6.403225806,1.661290323,0.11516129,0.234709677,78.96774194
AB1,2011,2,-5.628571429,0.525,0.150714286,0.31525,73.75
AB1,2011,3,0.496774194,0.696774194,0.32,0.348903226,74.64516129
AB1,2011,4,9.413333333,1.646666667,0.752666667,0.346933333,62.2
AB1,2011,5,15.43548387,1.822580645,0.985806452,0.275419355,65.67741935
AB1,2011,6,19.77333333,2.583333333,1.209666667,0.303566667,68.2
AB1,2011,7,25.6516129,1.738709677,2.086129032,0.203387097,57.90322581
AB1,2011,8,26.25483871,0.841935484,2.377096774,0.154903226,53.61290323
AB1,2011,9,24.11,0.306666667,2.444666667,0.1716,42.7
