Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
California,2022,2,17.68928571,0.732142857,1.358928571,0.236964286,62.78571429
California,2022,3,20.77419355,1.816129032,1.612580645,0.292580645,62.83870968
California,2022,4,23.6,1.28,2.145666667,0.231533333,53.56666667
California,2022,5,29.53870968,0,3.619032258,0.144322581,35.93548387
California,2022,6,36.15333333,0.04,5.427,0.133466667,27.6
California,2022,7,39.07741935,0,6.198064516,0.132064516,25.96774194
California,2022,8,39.11935484,0.441935484,6.059354839,0.138516129,29.58064516
California,2022,9,35.18666667,0.143333333,4.949,0.139366667,37.2
California,2022,10,28.94516129,0.048387097,3.270645161,0.134774194,42.16129032
California,2022,11,16.15333333,2.483333333,1.063,0.275133333,67.26666667
California,2022,12,12.73870968,7.232258065,0.572258065,0.350774194,78.22580645
California,2023,1,13.07419355,10.23548387,0.647096774,0.394225806,75
California,2023,2,13.42142857,6.646428571,0.829642857,0.351892857,71.21428571
California,2023,3,14.56451613,13.18064516,0.819354839,0.401483871,73.06451613
California,2023,4,22.15,0.023333333,1.750333333,0.262633333,62.43333333
California,2023,5,27.24193548,0.296774194,2.758064516,0.175290323,52.06451613
California,2023,6,30.38333333,0.35,3.304666667,0.155966667,46.9
California,2023,7,39.69354839,0,6.51483871,0.133645161,26.09677419
California,2023,8,36.27419355,0.851612903,5.018709677,0.172290323,38.5483871
California,2023,9,30.87666667,0.246666667,3.309666667,0.155566667,49.7
California,2023,10,26.23870968,0.016129032,2.502903226,0.172741935,54.35483871
California,2023,11,19.46333333,1.366666667,1.469666667,0.226466667,61.66666667
California,2023,12,16.32258065,2.722580645,0.938709677,0.248612903,71.51612903
California,2024,1,14.02903226,1.977419355,0.690645161,0.345419355,75.93548387
California,2024,2,15.5,7.462068966,0.822758621,0.382827586,74.44827586
California,2024,3,17.52580645,4.2,1.078387097,0.356096774,69.87096774
California,2024,4,21.42666667,2.223333333,1.458,0.3344,67.66666667
California,2024,5,27.83870968,0.412903226,2.749032258,0.203483871,53.90322581
California,2024,6,36.28666667,0,5.188333333,0.137,32.56666667
California,2024,7,41.77096774,0,7.245483871,0.133129032,25.32258065
